MTD_org	=	1,	2358,	60,	58,	90,	0.6444444444444445
pv_reduction_lmr1_1	=	2,	2318,	38,	18,	54,	0.3333333333333333
pv_qsearch_pruning_mate_distance	=	3,	2317,	38,	17,	51,	0.3333333333333333
nonpv_qsearch_use_queen_material_margin	=	4,	2315,	36,	15,	59,	0.2542372881355932
LKG9	=	5,	2312,	36,	12,	40,	0.3
pv_reduction_lmr2_11	=	6,	2311,	38,	11,	45,	0.24444444444444444
nonpv_pruning_futility	=	7,	2310,	36,	10,	42,	0.23809523809523808
nonpv_reduction_lmr2_5	=	8,	2310,	36,	10,	58,	0.1724137931034483
nonpv_qsearch_store_tpt_scores	=	9,	2310,	36,	10,	52,	0.19230769230769232
LKG8	=	10,	2309,	38,	9,	51,	0.17647058823529413
pv_reduction_lmr2_6	=	11,	2307,	38,	7,	65,	0.1076923076923077
pv_qsearch_optimization_tpt_scores	=	12,	2307,	36,	7,	61,	0.11475409836065574
nonpv_reduction_too_good_scores	=	13,	2306,	36,	6,	38,	0.15789473684210525
pv_pruning_null_move	=	14,	2305,	38,	5,	59,	0.0847457627118644
pv_reduction_lmr1_4	=	15,	2303,	36,	3,	41,	0.07317073170731707
pv_qsearch_move_checks	=	16,	2302,	40,	2,	62,	0.03225806451612903
pv_reduction_lmr1_5	=	17,	2301,	38,	1,	47,	0.02127659574468085
pv_reduction_lmr1_2	=	18,	2300,	36,	0,	42,	0.0
pv_qsearch_use_see	=	19,	2300,	36,	0,	56,	0.0
pv_qsearch_use_queen_material_margin	=	20,	2300,	36,	0,	52,	0.0
pv_qsearch_store_tpt_scores	=	21,	2300,	36,	0,	50,	0.0
LKG	=	22,	2299,	38,	-1,	43,	-0.023255813953488372
nonpv_qsearch_use_see	=	23,	2298,	36,	-2,	48,	-0.041666666666666664
nonpv_reduction_lmr1_4	=	24,	2297,	36,	-3,	53,	-0.05660377358490566
pv_pruning_mate_distance	=	25,	2295,	36,	-5,	45,	-0.1111111111111111
nonpv_reduction_lmr2_6	=	26,	2295,	36,	-5,	47,	-0.10638297872340426
pv_reduction_lmr2_5	=	27,	2294,	38,	-6,	44,	-0.13636363636363635
nonpv_reduction_lmr2_2	=	28,	2294,	36,	-6,	56,	-0.10714285714285714
nonpv_qsearch_move_checks	=	29,	2293,	36,	-7,	31,	-0.22580645161290322
nonpv_reduction_lmr1_3	=	30,	2291,	38,	-9,	59,	-0.15254237288135594
pv_optimization_tpt_scores	=	31,	2290,	38,	-10,	56,	-0.17857142857142858
nonpv_reduction_lmr2_3	=	32,	2289,	36,	-11,	47,	-0.23404255319148937
nonpv_optimization_tpt_scores	=	33,	2288,	36,	-12,	52,	-0.23076923076923078
nonpv_qsearch_pruning_mate_distance	=	34,	2288,	38,	-12,	72,	-0.16666666666666666
nonpv_qsearch_optimization_tpt_scores	=	35,	2288,	36,	-12,	42,	-0.2857142857142857
pv_reduction_lmr2_7	=	36,	2287,	36,	-13,	41,	-0.3170731707317073
LKG7	=	37,	2285,	36,	-15,	39,	-0.38461538461538464
nonpv_pruning_null_move	=	38,	2285,	36,	-15,	53,	-0.2830188679245283
nonpv_pruning_mate_distance	=	39,	2284,	36,	-16,	54,	-0.2962962962962963
nonpv_reduction_lmr1_5	=	40,	2282,	36,	-18,	52,	-0.34615384615384615
nonpv_reduction_lmr1_2	=	41,	2277,	36,	-23,	53,	-0.4339622641509434
